comic_uri,type,title,author,origin_country,publication_date,genre
http://www.wikidata.org/entity/Q16961696,manhwa series,Moon Boy,Lee Young-you,South Korea,,
http://www.wikidata.org/entity/Q18116770,manhwa series,The Neighbor,Kang Full,South Korea,2008-01-01T00:00:00Z,"crime fiction, thriller"
http://www.wikidata.org/entity/Q19161871,manhwa series,Lookism,,South Korea,2014-11-20T00:00:00Z,"comedy, drama fiction, speculative fiction"
http://www.wikidata.org/entity/Q19359809,manhwa series,Ho!,,South Korea,,
http://www.wikidata.org/entity/Q21234264,manhua,Sacred Dreams,,People's Republic of China,,fantasy comics
http://www.wikidata.org/entity/Q2259614,manhwa series,Model,Lee So-young,South Korea,,romance anime and manga
http://www.wikidata.org/entity/Q22971532,manhwa series,203 Grim Reaper,,South Korea,,
http://www.wikidata.org/entity/Q24000269,manhwa series,Hardcore Leveling Warrior,,South Korea,,
http://www.wikidata.org/entity/Q24863019,manhua,Gunjō no Magmell,Di Nian Miao,People's Republic of China,2014-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q25338402,manhua,Under One Person,,People's Republic of China,,
http://www.wikidata.org/entity/Q25394056,manhwa series,Pandemonium,,South Korea,,
http://www.wikidata.org/entity/Q27062268,manhua,Soul Buster,,People's Republic of China,,television series based on a novel
http://www.wikidata.org/entity/Q27068074,manhua,Time Prisoners,,People's Republic of China,,"action comics, fantasy comics"
http://www.wikidata.org/entity/Q2806457,manhwa series,0/6,Lee You-jung,South Korea,,
http://www.wikidata.org/entity/Q28127451,manhua,Spiritpact,,People's Republic of China,,
http://www.wikidata.org/entity/Q2849343,manhwa series,Angel Dick,Lee Hyun-se,South Korea,,
http://www.wikidata.org/entity/Q2858631,manhwa series,Q2858631,Kang Full,South Korea,,
http://www.wikidata.org/entity/Q2859928,manhwa series,Arcana,Lee So-young,South Korea,,
http://www.wikidata.org/entity/Q2861697,manhwa series,Armageddon,Lee Hyun-se,South Korea,,
http://www.wikidata.org/entity/Q28914820,manhua,Please Take My Brother Away!,,People's Republic of China,,
http://www.wikidata.org/entity/Q2905950,manhwa series,Blanche the Baby Killer,,South Korea,,
http://www.wikidata.org/entity/Q3027778,manhua,Digimon D-Cyber,,People's Republic of China,,
http://www.wikidata.org/entity/Q3059242,manhwa series,Eternity,,South Korea,,
http://www.wikidata.org/entity/Q30895247,manhwa series,Carnivorous Princess Yegrina,,South Korea,,
http://www.wikidata.org/entity/Q31180761,manhwa series,Oh! Holy,,South Korea,,"comedy anime and manga, romance anime and manga"
http://www.wikidata.org/entity/Q31180765,manhwa series,Yumi's Cells,,South Korea,,
http://www.wikidata.org/entity/Q31180783,manhwa series,Odd Girl Out,,South Korea,,"comedy anime and manga, drama anime and manga"
http://www.wikidata.org/entity/Q3135393,manhwa series,Bal Jak,,South Korea,,
http://www.wikidata.org/entity/Q3231039,manhwa series,Les Bijoux,,South Korea,,
http://www.wikidata.org/entity/Q32979673,manhwa series,Zero taker,Choi Yun-Yeol,South Korea,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q32979673,manhwa series,Zero taker,Kim Goon,South Korea,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q3314279,manhwa series,One Thousand and One Nights,Han Seung-Hee,South Korea,,
http://www.wikidata.org/entity/Q3314279,manhwa series,One Thousand and One Nights,Jun Jin Suk,South Korea,,
http://www.wikidata.org/entity/Q3352566,manhwa series,One,Lee Bin,South Korea,,
http://www.wikidata.org/entity/Q3453337,manhwa series,Rure,,South Korea,,
http://www.wikidata.org/entity/Q3561185,manhwa series,Vitamin,,South Korea,,
http://www.wikidata.org/entity/Q3571045,manhwa series,Xs,,South Korea,,
http://www.wikidata.org/entity/Q370574,manhwa series,Threads of Time,,South Korea,,
http://www.wikidata.org/entity/Q3780155,manhwa series,Gwi - The Spectre,,South Korea,,
http://www.wikidata.org/entity/Q3929536,manhwa series,Raiders,,South Korea,,
http://www.wikidata.org/entity/Q3975939,manhua,Street Fighter III,,People's Republic of China,,
http://www.wikidata.org/entity/Q3989534,manhwa series,The Summit,,South Korea,,
http://www.wikidata.org/entity/Q4025809,manhwa series,Rebirth,,South Korea,,
http://www.wikidata.org/entity/Q4315734,manhwa series,Devil's Bride,,South Korea,,
http://www.wikidata.org/entity/Q4762112,manhwa series,Angel Cup,,South Korea,,
http://www.wikidata.org/entity/Q4762124,manhwa series,Angel Diary,,South Korea,,
http://www.wikidata.org/entity/Q482780,manhwa series,Blade of the Phantom Master,,South Korea,,"action anime and manga, fantasy anime and manga"
http://www.wikidata.org/entity/Q484075,manhwa series,The Great Catsby,,South Korea,,
http://www.wikidata.org/entity/Q484466,manhwa series,Chun Rhang Yul Jun,Park Sung-woo,South Korea,,
http://www.wikidata.org/entity/Q487202,manhwa series,Tower of God,SIU,South Korea,2010-06-30T00:00:00Z,"action fiction, adventure fiction, fantasy, mystery fiction"
http://www.wikidata.org/entity/Q487207,manhwa series,The Breaker,,South Korea,,
http://www.wikidata.org/entity/Q48908059,manhua,Dongguo Xiaojie,,People's Republic of China,,
http://www.wikidata.org/entity/Q489478,manhwa series,Goong,Park So-hee,South Korea,,
http://www.wikidata.org/entity/Q49181,manhwa series,Dooly the Little Dinosaur,,South Korea,1983-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q493375,manhwa series,Noblesse,Son Je-ho,South Korea,,vampire fiction
http://www.wikidata.org/entity/Q5103575,manhwa series,Chocolat,,South Korea,,
http://www.wikidata.org/entity/Q5114072,manhwa series,Chronicles of the Cursed Sword,,South Korea,1999-01-01T00:00:00Z,fantasy
http://www.wikidata.org/entity/Q546371,manhwa series,Witch Hunter,Cho Jung-man,South Korea,,
http://www.wikidata.org/entity/Q55732425,manhwa series,Something About Us,,South Korea,,
http://www.wikidata.org/entity/Q55733182,manhwa series,Imitation,,South Korea,,
http://www.wikidata.org/entity/Q562387,manhwa series,Chonchu – The Heir of the Devil's Stone,,South Korea,,
http://www.wikidata.org/entity/Q562405,manhwa series,Priest,Hyung Min-woo,South Korea,,"action comics, horror comics, supernatural fiction, survival fiction, vampire fiction, zombie fiction"
http://www.wikidata.org/entity/Q562745,manhwa series,Ciel,Rhim Ju-yeon,South Korea,,
http://www.wikidata.org/entity/Q563020,manhwa series,The Queen's Knight,Kang-Won Kim,South Korea,,
http://www.wikidata.org/entity/Q56345608,manhwa series,Angry,,South Korea,,
http://www.wikidata.org/entity/Q609271,manhwa series,I.N.V.U.,,South Korea,,
http://www.wikidata.org/entity/Q61099589,manhwa series,Fairy Pink,Kim Donghwa,South Korea,1985-01-01T00:00:00Z,"drama anime and manga, magical girl, romance anime and manga"
http://www.wikidata.org/entity/Q65059454,manhua,Cooking with Valkyries,,People's Republic of China,,
http://www.wikidata.org/entity/Q65256306,manhwa series,Unwritten Law,,South Korea,,
http://www.wikidata.org/entity/Q6746511,manhwa series,Mana,Lee Bin,South Korea,,
http://www.wikidata.org/entity/Q6774835,manhwa series,Martin & John,,South Korea,,
http://www.wikidata.org/entity/Q6995067,manhwa series,Nephilim,Ryu Kum-chel,South Korea,2007-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q7196045,manhwa series,Pink Lady,,South Korea,,
http://www.wikidata.org/entity/Q7268998,manhwa series,Quantum Mistake,,South Korea,,
http://www.wikidata.org/entity/Q7428169,manhwa series,Saver,,South Korea,,
http://www.wikidata.org/entity/Q7548224,manhwa series,Snow Drop,,South Korea,,
http://www.wikidata.org/entity/Q790041,manhwa series,Banya: The Explosive Delivery Man,Kim Young-oh,South Korea,,
http://www.wikidata.org/entity/Q7921378,manhwa series,Veritas,,South Korea,,
http://www.wikidata.org/entity/Q8011104,manhwa series,Trace,,South Korea,,
http://www.wikidata.org/entity/Q8069490,manhwa series,Zero,,South Korea,,
http://www.wikidata.org/entity/Q84918784,manhua,Mo Dao Zu Shi,,People's Republic of China,2017-12-08T00:00:00Z,Xianxia
http://www.wikidata.org/entity/Q928810,manhwa series,King of Hell,,South Korea,,
http://www.wikidata.org/entity/Q941360,manhwa series,Redrum 327,,South Korea,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q97210865,manhwa series,Why Raeliana Ended Up at the Duke's Mansion,,South Korea,,
http://www.wikidata.org/entity/Q97216120,manhwa series,Romance 101,,South Korea,,romance anime and manga
http://www.wikidata.org/entity/Q97338939,manhwa series,Shall We Have Dinner Tonight?,,South Korea,,
http://www.wikidata.org/entity/Q97420049,manhwa series,Villains Are Destined to Die,,South Korea,2020-05-01T00:00:00Z,
